Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
2020-03-12,"-23,358765","-46,738107",BOM,17
2020-03-10,"-23,523503","-46,600672",NUBLADO,5
2020-03-10,"-23,457621426944506","-46,47932669389211",NUBLADO,22
2020-03-09,"-23,692532","-46,607201",BOM,9
2020-03-08,"-23,45775816289004","-46,57131495358733",BOM,3
2020-03-08,"-23,698081","-46,439438",NUBLADO,22
2020-03-08,"-23,486369","-46,805939",NUBLADO,5
2020-03-07,"-23,567323","-46,505663",NUBLADO,18
2020-03-07,"-23,510875","-46,467769",NUBLADO,15
2020-03-07,"-23,490477","-46,344318",NUBLADO,1
2020-03-01,"-23,556373","-46,660044",NUBLADO,23
2020-02-29,"-23,569649899426555","-46,701554608026676",NUBLADO,5
2020-02-29,"-23,404986","-46,745748",NUBLADO,23
2020-02-28,"-23,46606","-46,403523",NUBLADO,23
2020-02-27,"-23,463761","-46,416506",NUBLADO,2
2020-02-25,"-23,499902","-46,623511",NUBLADO,19
2020-02-24,"-23,588216","-46,50033",NUBLADO,0
2020-02-23,"-23,637543","-46,739921",NUBLADO,4
2020-02-22,"-23,545401","-46,657552",NUBLADO,22
2020-02-20,"-23,517276","-46,745031",NUBLADO,16
2020-02-19,"-23,297289","-46,756691",NUBLADO,18
2020-02-13,"-23,450716","-46,428891",NUBLADO,7
2020-02-12,"-23,628983","-46,684786",NUBLADO,7
2020-02-12,"-23,510921","-46,852891",NUBLADO,20
2020-02-12,"-23,510806","-46,770385",NUBLADO,12
2020-02-09,"-23,669177","-46,635351",NUBLADO,5
2020-02-09,"-23,47413061084957","-46,48090631126441",NUBLADO,23
2020-02-09,"-23,563590872768586","-46,820300776657284",CHUVA,21
2020-02-08,"-23,516325132524745","-45,86877487895595",BOM,23
2020-02-04,"-23,53237","-46,848291",NUBLADO,12
2020-02-02,"-23,702925","-46,514734",NUBLADO,18
2020-01-28,"-23,47424983972839","-46,48573524155362",NUBLADO,14
2020-01-27,"-23,62928","-46,744287",BOM,5
2020-01-27,"-23,471438568542034","-46,56485376887023",BOM,1
2020-01-26,"-23,749125","-46,787165",BOM,22
2020-01-24,"-24,00278839665537","-47,15415080045932",NUBLADO,18
2020-01-24,"-23,423082","-46,541833",NUBLADO,18
2020-01-23,"-23,429713","-46,436017",NUBLADO,18
2020-01-16,"-23,273733","-46,730499",NUBLADO,17
2020-01-16,"-23,664485","-46,468711",NUBLADO,18
2020-01-13,"-23,687595","-46,670591",NUBLADO,1
2020-01-13,"-23,605275","-46,746701",NUBLADO,7
2020-01-12,"-23,651019","-46,314699",NUBLADO,17
2020-01-11,"-23,616874","-46,697146",NUBLADO,13
2020-01-10,"-23,619582","-46,508899",BOM,21
2020-01-06,"-23,705129","-46,611917",NUBLADO,5
2020-01-05,"-23,617128","-46,733816",NUBLADO,14
2020-01-01,"-23,405567","-46,734923",BOM,6
2020-01-01,"-23,542379","-46,366854",NUBLADO,18
2019-12-31,"-23,466832","-46,654485",BOM,19
2019-12-31,"-23,884537760328133","-46,840424215421656",BOM,9
2019-12-26,"-23,584098","-46,534448",BOM,2
