,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
249,5673,RUA RUI BARBOSA,226,SAO PAULO,"RUA RUI BARBOSA, 226, SAO PAULO","[-23.5588707302915, -46.6471765802915]"
250,5679,AVENIDA ISRAEL,0,FRANCO DA ROCHA,"AVENIDA ISRAEL, 0, FRANCO DA ROCHA","[-23.3133359802915, -46.7228429802915]"
251,5727,ESTRADA ITAQUERA GUAIANAZES,2421,SAO PAULO,"ESTRADA ITAQUERA GUAIANAZES, 2421, SAO PAULO","[-23.5426243802915, -46.4267825802915]"
252,5736,RUA MONTEIRO LOBATO,2,ITAPECERICA DA SERRA,"RUA MONTEIRO LOBATO, 2, ITAPECERICA DA SERRA","[-23.7477622802915, -46.79537498029149]"
253,5755,AVENIDA CORONEL BERTOLDO,100,SANTA ISABEL,"AVENIDA CORONEL BERTOLDO, 100, SANTA ISABEL","[-23.3216099802915, -46.2276868802915]"
254,5758,RUA LEON,3624,SAO BERNARDO DO CAMPO,"RUA LEON, 3624, SAO BERNARDO DO CAMPO","[-23.7203248802915, -46.57390098029149]"
255,5759,AVENIDA DOS ESTADOS,1341,SANTO ANDRE,"AVENIDA DOS ESTADOS, 1341, SANTO ANDRE","[-23.62154858029151, -46.5432324802915]"
256,5836,AVENIDA PIRAPORINHA,100,SAO BERNARDO DO CAMPO,"AVENIDA PIRAPORINHA, 100, SAO BERNARDO DO CAMPO","[-23.6910707802915, -46.56887698029149]"
257,5838,RUA AMARAL GURGEL,499,SAO PAULO,"RUA AMARAL GURGEL, 499, SAO PAULO","[-23.5475388802915, -46.6489388802915]"
258,5842,VIELA URGA,144,GUARULHOS,"VIELA URGA, 144, GUARULHOS","[-23.4107130802915, -46.4012842802915]"
259,5844,RUA MARECHAL LEITAO DE CARVALHO,483,SAO PAULO,"RUA MARECHAL LEITAO DE CARVALHO, 483, SAO PAULO","[-23.5172687802915, -46.63594498029149]"
260,5846,AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS,90,SAO PAULO,"AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS, 90, SAO PAULO","[-23.7444186802915, -46.6940086802915]"
261,5853,AVENIDA LIONS,1,SAO BERNARDO DO CAMPO,"AVENIDA LIONS, 1, SAO BERNARDO DO CAMPO","[-23.6668841802915, -46.5716026802915]"
262,5861,RUA ENGENHEIRO VITOR FREIRE,100,SAO PAULO,"RUA ENGENHEIRO VITOR FREIRE, 100, SAO PAULO","[-23.5475331802915, -46.74695008029149]"
263,5907,AVENIDA INCONFIDENCIA MINEIRA,1576,SAO PAULO,"AVENIDA INCONFIDENCIA MINEIRA, 1576, SAO PAULO","[-23.5746004802915, -46.5134900802915]"
264,5909,AVENIDA FRANCISCO RODRIGUES FILHO,7170,MOGI DAS CRUZES,"AVENIDA FRANCISCO RODRIGUES FILHO, 7170, MOGI DAS CRUZES","[-23.4853367802915, -46.1431669802915]"
265,5924,AVENIDA WASHINGTON LUIS,6995,SAO PAULO,"AVENIDA WASHINGTON LUIS, 6995, SAO PAULO","[-23.6239035302915, -46.66343948029149]"
266,5932,AVENIDA ITAQUERA,5056,SAO PAULO,"AVENIDA ITAQUERA, 5056, SAO PAULO","[-23.5534589802915, -46.4802785802915]"
267,5936,Rodovia Ayrton Senna da Silva,10,GUARULHOS,"Rodovia Ayrton Senna da Silva, 10, GUARULHOS","[-23.4675469802915, -46.3701549802915]"
268,5938,RUA ATLANTICA,3453,SAO PAULO,"RUA ATLANTICA, 3453, SAO PAULO","[-23.6951696802915, -46.71600018029149]"
269,5982,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO,"AVENIDA ESCOLA POLITECNICA, 100, SAO PAULO","[-23.5595688802915, -46.7466419802915]"
270,5990,AVENIDA SANTA CATARINA,2525,SAO PAULO,"AVENIDA SANTA CATARINA, 2525, SAO PAULO","[-23.6567635302915, -46.6566893802915]"
271,5991,AVENIDA PRESIDENTE DOUTOR TANCREDO DE ALMEIDA NEVE,150,OSASCO,"AVENIDA PRESIDENTE DOUTOR TANCREDO DE ALMEIDA NEVE, 150, OSASCO","[-23.5206407802915, -46.7897911302915]"
272,5993,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,7000,DIADEMA,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 7000, DIADEMA","[-23.6767660802915, -46.6319331802915]"
273,5995,VIADUTO TERESA DELTA,100,SAO BERNARDO DO CAMPO,"VIADUTO TERESA DELTA, 100, SAO BERNARDO DO CAMPO","[-23.7068633802915, -46.55934098029149]"
274,6007,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,"AVENIDA VINTE E TRES DE MAIO, 1, SAO PAULO","[-23.5506059802915, -46.63983598029149]"
