Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
30256,RUA DOM PEDRO I,902.0,RIO GRANDE DA SERRA,"RUA DOM PEDRO I, 902, RIO GRANDE DA SERRA","[-23.75132833029151, -46.4003761802915]"
30299,RUA IPE,100.0,BARUERI,"RUA IPE, 100, BARUERI","[-23.4872751802915, -46.87847198029149]"
30358,AVENIDA ISALTINO VICTOR DE MORAES,100.0,EMBU DAS ARTES,"AVENIDA ISALTINO VICTOR DE MORAES, 100, EMBU DAS ARTES","[-23.6416696802915, -46.8403575802915]"
30362,PRACA LUIZ CARLOS MESQUITA,10.0,SAO PAULO,"PRACA LUIZ CARLOS MESQUITA, 10, SAO PAULO","[-23.5226528802915, -46.6686606802915]"
30367,Avenida Presidente Castelo Branco,504.0,SAO PAULO,"Avenida Presidente Castelo Branco, 504, SAO PAULO","[-23.5198248802915, -46.6502933802915]"
30485,PRACA CAMPO DE BAGATELLE,300.0,SAO PAULO,"PRACA CAMPO DE BAGATELLE, 300, SAO PAULO","[-23.5165859802915, -46.63158868029149]"
30514,AVENIDA SOUZA BANDEIRA,1.0,SAO PAULO,"AVENIDA SOUZA BANDEIRA, 1, SAO PAULO","[-23.5447658802915, -46.5002490802915]"
30520,ESTRADA MORRO GRANDE,999.0,COTIA,"ESTRADA MORRO GRANDE, 999, COTIA","[-23.6175767302915, -46.9507012302915]"
30579,AVENIDA ARICANDUVA,100.0,SAO PAULO,"AVENIDA ARICANDUVA, 100, SAO PAULO","[-23.5992040802915, -46.4687387802915]"
30582,AVENIDA SAPOPEMBA,24711.0,SAO PAULO,"AVENIDA SAPOPEMBA, 24711, SAO PAULO","[-23.6224542802915, -46.4607900802915]"
30585,RUA IPE,100.0,BARUERI,"RUA IPE, 100, BARUERI","[-23.4872751802915, -46.87847198029149]"
30701,Avenida das Nações Unidas,506.0,SAO PAULO,"Avenida das Nações Unidas, 506, SAO PAULO","[-23.5836350802915, -46.6932882802915]"
30703,ESTRADA DO SAPIANTA,1000.0,ITAPEVI,"ESTRADA DO SAPIANTA, 1000, ITAPEVI","[-23.5561193802915, -46.9527521802915]"
30707,AVENIDA SANTOS DUMONT,100.0,SAO PAULO,"AVENIDA SANTOS DUMONT, 100, SAO PAULO","[-23.5272551802915, -46.63207098029149]"
30780,AVENIDA PEDRO BUENO,1.0,SAO PAULO,"AVENIDA PEDRO BUENO, 1, SAO PAULO","[-23.6336796802915, -46.64823158029149]"
30796,ACESSO AVENIDA JACUPESSEGO  AEROPORTO GRU,11.0,MAUA,"ACESSO AVENIDA JACUPESSEGO  AEROPORTO GRU, 11, MAUA","[-23.5114099802915, -46.45820648029149]"
30802,RUA SENADOR VITORINO FREIRE,300.0,DIADEMA,"RUA SENADOR VITORINO FREIRE, 300, DIADEMA","[-23.6886388802915, -46.63501798029149]"
30804,RUA MARIA JOSE ALVES,383.0,GUARULHOS,"RUA MARIA JOSE ALVES, 383, GUARULHOS","[-23.4235344802915, -46.4981326802915]"
30899,RUA SAO FRANCISCO DE ASSIS,858.0,SAO PAULO,"RUA SAO FRANCISCO DE ASSIS, 858, SAO PAULO","[-23.4887585802915, -46.7405280802915]"
30906,RUA CONSOLACAO,100.0,CARAPICUIBA,"RUA CONSOLACAO, 100, CARAPICUIBA","[-23.51440893029151, -46.8357149302915]"
30907,ACESSO AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,513.0,SAO BERNARDO DO CAMPO,"ACESSO AVENIDA HUMBERTO ALENCAR CASTELO BRANCO, 513, SAO BERNARDO DO CAMPO","[-23.6994509802915, -46.5872506802915]"
30993,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,16000.0,SAO PAULO,"AVENIDA RAIMUNDO PEREIRA DE MAGALHAES, 16000, SAO PAULO","[-23.4078082802915, -46.7362857802915]"
