Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location,Numero_ori,Logradouro_ori,index1,Index_Bala
2652,PARQUE DOM PEDRO  CENTRO  PARQUE DOM PEDRO  CEN,100.0,SAO PAULO,,,"PARQUE DOM PEDRO  CENTRO  PARQUE DOM PEDRO  CEN, 100, SAO PAULO","[-23.5459023802915, -46.6321889802915]",100,PARQUE DOM PEDRO  CENTRO  PARQUE DOM PEDRO  CEN,351787,351787PARQUE DOM PEDRO  CENTRO  PARQUE DOM PEDRO  CEN100SAO PAULO
2653,HOSPITAL GERAL DO GRAJAU  RUA FRANCISCO OCTAVIO P,0.0,SAO PAULO,,,"HOSPITAL GERAL DO GRAJAU  RUA FRANCISCO OCTAVIO P, 0, SAO PAULO","[-23.7307991802915, -46.6920118802915]",nan,HOSPITAL GERAL DO GRAJAU  RUA FRANCISCO OCTAVIO P,351804,351804HOSPITAL GERAL DO GRAJAU  RUA FRANCISCO OCTAVIO PnanSAO PAULO
2654,ACESSO  MARIO COVAS,100.0,SAO PAULO,,,"ACESSO  MARIO COVAS, 100, SAO PAULO","[-23.5073879302915, -46.3691010302915]",100,ACESSO  MARIO COVAS,352292,352292ACESSO  MARIO COVAS100SAO PAULO
2655,PRACA GEOVANE BREDA,200.0,SAO BERNARDO DO CAMPO,,,"PRACA GEOVANE BREDA, 200, SAO BERNARDO DO CAMPO","[-23.7265902802915, -46.57653338029149]",200,PRACA GEOVANE BREDA,352748,352748PRACA GEOVANE BREDA200SAO BERNARDO DO CAMPO
2656,AVENIDA DO ESTADO,8766.0,SAO PAULO,,,"AVENIDA DO ESTADO, 8766, SAO PAULO","[-23.58572038029151, -46.6006532802915]",8766,AVENIDA DO ESTADO,352828,352828AVENIDA DO ESTADO8766SAO PAULO
2657,AVENIDA VINTE E TRES DE MAIO,1300.0,SAO PAULO,,,"AVENIDA VINTE E TRES DE MAIO, 1300, SAO PAULO","[-23.5824287802915, -46.6513636802915]",1300,AVENIDA VINTE E TRES DE MAIO,352943,352943AVENIDA VINTE E TRES DE MAIO1300SAO PAULO
2658,RUA ORESTES BARBOSA,153.0,SAO PAULO,,,"RUA ORESTES BARBOSA, 153, SAO PAULO","[-23.6899799802915, -46.6796946802915]",153,RUA ORESTES BARBOSA,353231,353231RUA ORESTES BARBOSA153SAO PAULO
2659,ACESSO  MARIO COVAS,24.0,SAO PAULO,,,"ACESSO  MARIO COVAS, 24, SAO PAULO","[-23.5963019802915, -46.81192303029149]",24,ACESSO  MARIO COVAS,353332,353332ACESSO  MARIO COVAS24SAO PAULO
2660,AVENIDA SALIM FARAH MALUF,100.0,SAO PAULO,,,"AVENIDA SALIM FARAH MALUF, 100, SAO PAULO","[-23.5770964802915, -46.57279708029149]",100,AVENIDA SALIM FARAH MALUF,353355,353355AVENIDA SALIM FARAH MALUF100SAO PAULO
2661,ACESSO SALIM FARAH MALUF,2500.0,SAO PAULO,,,"ACESSO SALIM FARAH MALUF, 2500, SAO PAULO","[-23.5509965802915, -46.58061438029149]",2500,ACESSO SALIM FARAH MALUF,353384,353384ACESSO SALIM FARAH MALUF2500SAO PAULO
2662,AVENIDA FRANCISCO RODRIGUES FILHO,1.0,MOGI DAS CRUZES,,,"AVENIDA FRANCISCO RODRIGUES FILHO, 1, MOGI DAS CRUZES","[-23.5206771802915, -46.19694318029151]",1,AVENIDA FRANCISCO RODRIGUES FILHO,353570,353570AVENIDA FRANCISCO RODRIGUES FILHO1MOGI DAS CRUZES
2663,RUA CAPITAO JOSE GALO,1364.0,RIBEIRAO PIRES,,,"RUA CAPITAO JOSE GALO, 1364, RIBEIRAO PIRES","[-23.7037096802915, -46.4269619802915]",1364,RUA CAPITAO JOSE GALO,353573,353573RUA CAPITAO JOSE GALO1364RIBEIRAO PIRES
