,Logradouro,Numero/KM,Município,Longitude,Latitude
151890,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO,,
152074,ESTRADA DE ITAPECERICA,5360,SAO PAULO,,
152141,RUA CONSOLACAO,100,CARAPICUIBA,,
152205,AVENIDA JOSE PINHEIRO BORGES,1,SAO PAULO,,
152298,AVENIDA NATALIA ZARIF,1,GUARULHOS,,
152371,AVENIDA DO ORATORIO,4391,SAO PAULO,,
152521,RUA INGLESA,300,SAO PAULO,,
152698,RUA PAOLO PORPORA,406,SAO PAULO,,
152949,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO,,
152951,AVENIDA EDSON DANILO DOTTO,100,SANTO ANDRE,,
153288,AVENIDA CASA GRANDE,2571,DIADEMA,,
153480,RUA GIUSEPPE PIERMARINI,200,SAO PAULO,,
153559,ESTRADA DE ITAPECERICA,12550,SAO PAULO,,
153902,AVENIDA ATLANTICA,211,SANTO ANDRE,,
154039,VELHA MOGISUZANO,,SUZANO,,
154327,PARQUE RAPOSO TAVARES,12,SAO PAULO,,
154419,AVENIDA DO ORATORIO,2635,SAO PAULO,,
154579,RUA BELA VISTA DO PARAISO,100,GUARULHOS,,
155091,AVENIDA JACU PESSEGO,201,SAO PAULO,,
155308,AVENIDA TRANSGUARULHENSE,983,GUARULHOS,,
155369,AVENIDA IMIRIM,,SAO PAULO,,
155469,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,,
155498,RUA DOUTOR LUIZ MIGLIANO,1870,SAO PAULO,,
155680,AVENIDA MARGINAL CSU,425,CARAPICUIBA,,
156022,RUA ARICANGA,571,SAO PAULO,,
156052,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO,,
156067,AVENIDA ATLANTICA,3999,SAO PAULO,,
156108,AVENIDA SANTA CATARINA,2526,SAO PAULO,,
156112,AVENIDA ALDINO PINOTTI,601,SAO BERNARDO DO CAMPO,,
156162,AVENIDA LAURO GOMES,,SAO BERNARDO DO CAMPO,,
156358,ACESSO PARA O  MARIO COVAS,1000,SAO BERNARDO DO CAMPO,,
156529,RUA MIGUEL YUNES,,SAO PAULO,,
156616,AVENIDA IBIRAMA,100,TABOAO DA SERRA,,
156677,AVENIDA ARICANDUVA,12000,SAO PAULO,,
156740,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,3005,SAO BERNARDO DO CAMPO,,
156942,AVENIDA SANTO ANDRE,100,RIBEIRAO PIRES,,
157022,RUA DOUTOR JOSE DE PORCIUNCULA,,SAO PAULO,,
157117,VIADUTO DONA MORA GUIMARAES,100,SAO PAULO,,
157119,RUA DOUTOR JOSE SILVIO DE CAMARGO,2545,SAO PAULO,,
157427,RUA BENJAMIN PEREIRA,,SAO PAULO,,
157524,PRACA QUATORZE BIS,1,SAO PAULO,,
157586,AVENIDA VEREADOR JOAO DE LUCA,303,SAO PAULO,,
157614,RUA CARIJOS,600,SANTO ANDRE,,
158074,SP 088,,ARUJA,,
158119,AVENIDA DOS AUTONOMISTAS,671,OSASCO,,
158194,ACESSO MAUA,10,MAUA,,
158394,RUA ORLANDO VILLAS BOAS,9,SAO PAULO,,
158463,PONTE ENGENHEIRO ROBERTO ROSSI ZUCCOLO,10,SAO PAULO,,
158616,RUA DAS TRES MARIAS,,SAO PAULO,,
158925,ACESSO AVENIDA ITAQUERA,1,SAO PAULO,,
159000,AVENIDA TIRADENTES,100,GUARULHOS,,
159206,RUA ENGENHEIRO VITOR FREIRE,250,SAO PAULO,,
159235,AVENIDA ALDA,1,DIADEMA,,
159316,ACESSO PARA MARGINAL TIETE CENTRAL,18,SAO PAULO,,
159559,ESTRADA KIZAEMON TAKEUTI,3247,TABOAO DA SERRA,,
159584,SP 015,500,SAO PAULO,,
159901,RUA ALEGRE,20,SANTO ANDRE,,
160126,ALAMEDA SAO CAETANO,684,SANTO ANDRE,,
160595,RUA CURUCA,142,SAO PAULO,,
160655,SP 015,101,SAO PAULO,,
160779,ESTRADA DOS ALVARENGAS,999,SAO BERNARDO DO CAMPO,,
160829,VIADUTO PEDROSO,100,SAO PAULO,,
160880,AVENIDA ARICANDUVA,12771,SAO PAULO,,
160974,PRACA MARIO GARNERO,100,SAO PAULO,,
161014,RUA ARCELINA TEIXEIRA DA SILVA,100,SAO PAULO,,
161151,AVENIDA JOSE ANTONIO DE ALMEIDA AMAZONAS,100,SANTO ANDRE,,
161240,RUA BENEDICTO DE SOUZA BRANCO,,MOGI DAS CRUZES,,
161400,AVENIDA ASSEMBLEIA,10,DIADEMA,,
161427,MARGINAL MARGINAL TIETE CENTRAL,,SAO PAULO,,
161433,ALAMEDA SANTO AMARO,1,SAO PAULO,,
161440,RUA MANOEL AUGUSTO FERREIRINHA,853,SAO CAETANO DO SUL,,
161666,AVENIDA ENGENHEIRO EUSEBIO STEVAUX,1350,SAO PAULO,,
161745,AVENIDA MARCO ANTONIO CALEGARI,100,BARUERI,,
162036,ALAMEDA AGENOR COUTO MAGALHAES,1779,SAO PAULO,,
162342,RUA SANTA CRUZ,1610,SAO PAULO,,
162605,AVENIDA MONTEMAGNO,2471,SAO PAULO,,
162626,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,575,SAO PAULO,,
162975,ESTRADA DO ALVARENGA,2820,SAO PAULO,,
163181,AVENIDA LUIS PEQUINI,36,SAO BERNARDO DO CAMPO,,
163220,VIADUTO ANTONIO ADIBE CHAMAS,1,SANTO ANDRE,,
163305,AVENIDA VINTE E TRES DE MAIO,2,SAO PAULO,,
163327,AVENIDA CARLOS CALDEIRA FILHO,100,SAO PAULO,,
163518,AVENIDA JOAO PAULO PRIMEIRO,,SAO PAULO,,
163552,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,100,SAO PAULO,,
163602,RUA HENRIQUE SCHAUMANN,679,SAO PAULO,,
164030,SP 031,100,RIBEIRAO PIRES,,
164184,AVENIDA NOSSA SENHORA DO SABARA,609,SAO PAULO,,
164273,AVENIDA DAS NACOES,2767,SANTO ANDRE,,
164375,ESTRADA DO PONEI CLUB,53086,SAO BERNARDO DO CAMPO,,
164504,RUA JOSE CAMPANELA,1,GUARULHOS,,
164506,AVENIDA MARGINAL,100,CARAPICUIBA,,
164549,SP 354,3,CAJAMAR,,
164985,AVENIDA BRIGADEIRO FARIA LIMA,2859,SAO PAULO,,
165136,IMIGRANTES,10,SAO PAULO,,
165269,AVENIDA ALBERTO SOARES SAMPAIO,100,MAUA,,
165394,AVENIDA JOAO DIAS,2346,SAO PAULO,,
165591,AVENIDA VEREADOR JOSE DINIZ,1700,SAO PAULO,,
165729,AVENIDA PROFESSOR FRANCISCO MORATO,3389,SAO PAULO,,
165736,AVENIDA AFONSO DE SAMPAIO E SOUSA,100,SAO PAULO,,
166063,ESTRADA EMBU,23,COTIA,,
166223,PRESIDENTE PRESIDENTE CASTELLO BRANCO,,ITAPEVI,,
166364,AVENIDA DEPUTADO EMILIO CARLOS,100,SAO PAULO,,
166396,AVENIDA NAGIB FARAH MALUF,1404,SAO PAULO,,
166674,AVENIDA VALTER BOVERI,501,OSASCO,,
166777,RUA LEOPOLDO COUTO DE MAGALHAES JUNIOR,1305,SAO PAULO,,
167168,AVENIDA CONCEICAO,3323,SAO PAULO,,
167198,SP 015,150,SAO PAULO,,
167517,PRES PRESIDENTE CASTELLO BRANCO,,JANDIRA,,
167524,AVENIDA TOWER AUTOMOTIVE,100,ARUJA,,
167655,MARGINAL DO RIBEIRAO,2650,CARAPICUIBA,,
167932,AVENIDA CARLOS CALDEIRA FILHO,10,SAO PAULO,,
167974,VIADUTO MINISTRO ALIOMAR BALEEIRO,100,SAO PAULO,,
168159,SP 031,100,RIBEIRAO PIRES,,
168279,AVENIDA TIRADENTES,100,GUARULHOS,,
168379,AVENIDA IBIRAPUERA,900,SAO PAULO,,
168467,RUA ORATORIO,693,SANTO ANDRE,,
168507,AVENIDA ANTONIO CARDOSO,100,SANTO ANDRE,,
168579,RUA BARBARA HIPOLITO CAPRIOTE,401,CARAPICUIBA,,
168687,AVENIDA INAJAR DE SOUZA,,SAO PAULO,,
168715,SP 015,661,SAO PAULO,,
168766,AVENIDA TIRADENTES,100,GUARULHOS,,
168809,IMIGRANTES,15,SAO PAULO,,
168817,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,4327,SAO BERNARDO DO CAMPO,,
168841,AVENIDA EMANCIPACAO,100,ITAQUAQUECETUBA,,
168964,AVENIDA IBIRAMA,100,TABOAO DA SERRA,,
169429,RUA ISABEL SORIA MAINARDES,325,TABOAO DA SERRA,,
169871,RUA LUIS CORREIA DE MELO,357,SAO PAULO,,
170350,AVENIDA MARGINAL TIETE  KM 5 5  PISTA CENTRAL,,SAO PAULO,,
170434,AVENIDA ALDA,436,DIADEMA,,
170493,AVENIDA GAGO COUTINHO,100,SANTO ANDRE,,
170497,SP 066,29.6,ITAQUAQUECETUBA,,
170511,AVENIDA SAPOPEMBA,3739,SAO PAULO,,
170610,AVENIDA NOVE DE JULHO,3800,SAO PAULO,,
170785,PARQUE RAPOSO TAVARES,19200,SAO PAULO,,
170985,AVENIDA ATLANTICA,100,SAO PAULO,,
171027,AVENIDA ANGELINA,,SAO PAULO,,
171157,RUA LUIS CARLOS LISBOA,30,SAO PAULO,,
171355,AVENIDA NOSSA SENHORA DOS NAVEGANTES,1663,DIADEMA,,
171411,AVENIDA PROFESSOR FRANCISCO MORATO,10,SAO PAULO,,
171679,RUA ESPELHO MAGICO,66,SAO PAULO,,
171811,RUA PEDRO RAMAZZANI,1555,SAO PAULO,,
171822,AVENIDA DO ESTADO,8767,SAO PAULO,,
171843,AVENIDA DOS BANDEIRANTES,100,SAO PAULO,,
171849,AVENIDA ARICANDUVA,12771,SAO PAULO,,
172029,AVENIDA PAULO FACINI,2181,GUARULHOS,,
172053,ACESSO ESQUERDO   IMIGRANTES,100,SAO PAULO,,
172127,AVENIDA CONSELHEIRO CARRAO,2974,SAO PAULO,,
172355,AVENIDA RIO DAS PEDRAS,2919,SAO PAULO,,
172495,SP 160,22,DIADEMA,,
172916,RUA DOS COQUEIROS,,SANTO ANDRE,,
173033,RETORNO AVENIDA JACU PESSEGO,100,MAUA,,
173037,RUA ALFREDO PUJOL,1389,SAO PAULO,,
173176,ALAMEDA SANTO AMARO,2080,SAO PAULO,,
173182,AVENIDA DOS ESTADOS,1721,SANTO ANDRE,,
173445,ESTRADA DOS ALVARENGAS,999,SAO BERNARDO DO CAMPO,,
173506,ESTRADA DE ITAPECERICA,195,SAO PAULO,,
173695,AVENIDA ALDINO PINOTTI,650,SAO BERNARDO DO CAMPO,,
173941,ACESSO AVENIDA ELIAS YAZBEK,2434,EMBU DAS ARTES,,
174103,RUA CONEGO XAVIER,1,SAO PAULO,,
174234,RUA MARCILIO ALVES DE CARVALHO,1,SUZANO,,
174439,ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA,,
174825,RUA ERNESTO JOAQUIM DE SOUZA,742,SUZANO,,
174959,AVENIDA VINTE E TRES DE MAIO,16,SAO PAULO,,
174980,RUA TAQUARI,100,SAO PAULO,,
175115,RUA RIBEIRO DE LIMA,153,SAO PAULO,,
175130,AVENIDA PROFESSOR VICENTE RAO,2328,SAO PAULO,,
175304,RUA CANTAGALO,,SAO PAULO,,
175907,AVENIDA OTAVIO BRAGA DE MESQUITA,100,GUARULHOS,,
175969,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,100,SAO BERNARDO DO CAMPO,,
176979,AVENIDA MARGINAL,96,CARAPICUIBA,,
177223,ACESSO PARA MARGINAL TIETE CENTRAL,6,SAO PAULO,,
177511,RUA ANTONIO IERVOLINO,2,GUARULHOS,,
177559,AVENIDA CORIFEU DE AZEVEDO MARQUES,3937,SAO PAULO,,
177572,SP 230,10,EMBU DAS ARTES,,
177611,RUA ANTONIO JOAO DE MEDEIROS,100,SAO PAULO,,
177636,AVENIDA JABAQUARA,100,SAO PAULO,,
177656,AVENIDA INOCENCIO SERAFICO,5230,CARAPICUIBA,,
177901,AVENIDA ARICANDUVA,12000,SAO PAULO,,
177922,AVENIDA SAO GUALTER,1296,SAO PAULO,,
177986,RUA AMADOR BUENO,3019,SAO PAULO,,
178055,AVENIDA CALIM EID,511,SAO PAULO,,
178156,AVENIDA SAO MIGUEL,7710,SAO PAULO,,
178228,RUA DANIEL PEREIRA,180,SAO PAULO,,
178400,ESTRADA DE SANTA ISABEL,10,ARUJA,,
178495,RUA ILHA BELA,528,SANTO ANDRE,,
178585,ESTRADA TURISTICA DO JARAGUA,1551,SAO PAULO,,
178826,AVENIDA TIRADENTES,,SAO PAULO,,
178909,PARQUE DOM PEDRO II,100,SAO PAULO,,
178914,RUA INAJA,268,EMBU DAS ARTES,,
179039,RUA PEDRO VICENTE,1,SAO PAULO,,
179393,SP 015,242,SAO PAULO,,
179396,AVENIDA SANTOS DUMONT,10,SAO PAULO,,
179509,RUA MARIA CANDIDA,,SAO PAULO,,
179553,PRESIDENTE DUTRA BR 116,1000,GUARULHOS,,
179734,AVENIDA LOURENCO BELOLI,100,OSASCO,,
179850,ESTRADA SAO MARCOS,36,EMBU DAS ARTES,,
179852,SP 019,2,GUARULHOS,,
180207,AVENIDA DO TABOAO,2,SAO BERNARDO DO CAMPO,,
180646,AVENIDA DONA BELMIRA MARIN,1358,SAO PAULO,,
180663,ACESSO DOUTOR EDUARDO COTCHING,1810,SAO PAULO,,
180780,AVENIDA DOUTOR CANDIDO MOTTA FILHO,829,SAO PAULO,,
180814,AVENIDA NOVE DE JULHO,10,SAO PAULO,,
180986,ALAMEDA AMERICA,60,SANTANA DE PARNAIBA,,
181029,AVENIDA CARLOS CALDEIRA FILHO,1,SAO PAULO,,
181161,AVENIDA INAJAR DE SOUZA,3000,SAO PAULO,,
181181,PRACA QUATORZE BIS,26,SAO PAULO,,
181343,RUA HEITOR PENTEADO,499,SANTO ANDRE,,
181437,AVENIDA DEPUTADO CANTIDIO SAMPAIO,2015,SAO PAULO,,
181954,AVENIDA DOUTOR CHUCRI ZAIDAN,100,SAO PAULO,,
182064,RUA DAS TRES MARIAS,1,SAO PAULO,,
182153,RUA ESTEVAN DE ALMEIDA,99,FRANCISCO MORATO,,
182288,PONTE DO LIMAO,10,SAO PAULO,,
182560,AVENIDA DIEDERICHSEN,1307,SAO PAULO,,
182600,AVENIDA DO ESTADO,4531,SAO PAULO,,
182618,AVENIDA ROQUE PETRONI JUNIOR,100,SAO PAULO,,
183021,RUA ASCENSO FERNANDES,127,SAO PAULO,,
183069,AVENIDA PROFESSOR EDGAR SANTOS,2647,SAO PAULO,,
183096,AVENIDA JOAO DIAS,100,SAO PAULO,,
183105,AVENIDA DONA BELMIRA MARIN,2578,SAO PAULO,,
183372,ACESSO DOUTOR EDUARDO COTCHING,586,SAO PAULO,,
183594,RUA MARINOPOLIS,,GUARULHOS,,
183632,AVENIDA GOVERNADOR MARIO COVAS JUNIOR,1,MAUA,,
184013,RUA PRESIDENTE CAMPOS SALLES,,MOGI DAS CRUZES,,
184027,RUA AGUA BRANCA,304,EMBU DAS ARTES,,
184123,RUA PIAUI,100,BARUERI,,
184139,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5855,SANTO ANDRE,,
184382,ACESSO DOUTOR EDUARDO COTCHING,1800,SAO PAULO,,
184384,SP 015,514,SAO PAULO,,
184796,ACESSO AVENIDA ENGENHEIRO OLAVO ALAISIO DE LIMA,243,SANTO ANDRE,,
185036,ACESSO JD PARANAVAI  V NOVA MAUA,,MAUA,,
185046,SP 066,10,ITAQUAQUECETUBA,,
185163,AVENIDA MARCO ANTONIO CALEGARI,100,BARUERI,,
185262,AVENIDA GOVERNADOR MARIO COVAS JUNIOR,10,MAUA,,
185307,ACESSO CANAL DE COCAIA,4006,SAO PAULO,,
185591,AVENIDA BRIGADEIRO LUIS ANTONIO,3875,SAO PAULO,,
186231,RUA DA GOIABEIRA SERRANA,608,SAO PAULO,,
187087,AVENIDA FRANCISCO MATARAZZO,774,SAO PAULO,,
187201,AVENIDA DO ESTADO,1,SAO PAULO,,
187224,RUA DOUTOR WASHIGNTON PEDRO LANZELOTI,1500,OSASCO,,
187462,AVENIDA ARICANDUVA,10800,SAO PAULO,,
187557,RUA ESTADOS UNIDOS,170,SAO PAULO,,
188091,ESTRADA DE ITAPECERICA,10000,SAO PAULO,,
188292,AVENIDA ARICANDUVA,12200,SAO PAULO,,
188448,RUA TALES DOS SANTOS FREIRE,904,SAO BERNARDO DO CAMPO,,
188544,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,385,SAO PAULO,,
188822,RUA SANTO EURILO,360,SAO PAULO,,
188884,SP 019,2,GUARULHOS,,
189074,RUA VICENTE PIRES DOS SANTOS,804,TABOAO DA SERRA,,
189153,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,,
189207,RUA NOVA DO TUPAROQUERA,855,SAO PAULO,,
189547,AVENIDA TIRADENTES,100,GUARULHOS,,
189575,AVENIDA JOAO DIAS,100,SAO PAULO,,
189584,ACESSO DOUTOR ASSIS RIBEIRO,7750,SAO PAULO,,
190241,RUA VEREADOR JOAO BATISTA FITIPALDI,1137,SUZANO,,
190702,ACESSO AVENIDA PRESIDENTE JOAO CAFE FILHO,1,SAO BERNARDO DO CAMPO,,
190897,ACESSO SEBASTIANA FELIX RIBEIRO,7,CAJAMAR,,
191068,AVENIDA FERNANDO NOBRE,1332,COTIA,,
191194,ACESSO  M BOI MIRIM,4415,SAO PAULO,,
191325,RUA DOUTOR DEODATO WERTHEIMER,,MOGI DAS CRUZES,,
191337,AVENIDA VILA EMA,6143,SAO PAULO,,
191402,RUA ALVINOPOLIS,10,SAO PAULO,,
191782,AVENIDA ARICANDUVA,12000,SAO PAULO,,
191978,ACESSO AVENIDA JACUPESSEGO,100,SAO PAULO,,
192102,AVENIDA CONDE DE FRONTIN,10,SAO PAULO,,
192415,AVENIDA SAPOPEMBA,22000,SAO PAULO,,
192416,ACESSO AVENIDA SPORT CLUB CORINTIANS PAULISTA,100,OSASCO,,
192533,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,100,SAO PAULO,,
192648,ACESSO TUNEL DOUTOR ARNALDO,10,SAO PAULO,,
192779,AVENIDA MARIA SERVIDEI DEMARCHE,100,SAO BERNARDO DO CAMPO,,
193312,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO,,
193444,RUA JOAO TEODORO,,SAO PAULO,,
194069,ACESSO RADIAL LESTE  CENTRO,1.2,SAO PAULO,,
194378,PRACA CAMPO DE BAGATELLE,100,SAO PAULO,,
194584,AVENIDA SAPOPEMBA,25550,SAO PAULO,,
194633,ACESSO CUPECE,1689,SAO PAULO,,
194849,RUA DAS JUNTAS PROVISORIAS,10,SAO PAULO,,
194853,SP 148,29,SAO BERNARDO DO CAMPO,,
194939,PRACA LEONOR KAUPA,10,SAO PAULO,,
195226,RUA CHICO MENDES,3073,OSASCO,,
195268,ALAMEDA SANTO AMARO,1000,SAO PAULO,,
195641,AVENIDA PROFESSOR FRANCISCO MORATO,,SAO PAULO,,
195659,SP 015,420,SAO PAULO,,
195678,RUA COSTA BARROS,100,SAO PAULO,,
195807,AVENIDA DO ESTADO,100,SAO PAULO,,
195863,ESTRADA DE ITAPECERICA,100,SAO PAULO,,
195993,AVENIDA RAGUEB CHOHFI,1056,SAO PAULO,,
196002,ACESSO PARA MARGINAL TIETE CENTRAL,100,SAO PAULO,,
196355,RUA DOM PEDRO I,902,RIO GRANDE DA SERRA,,
196682,RUA IPE,100,BARUERI,,
197060,AVENIDA ISALTINO VICTOR DE MORAES,100,EMBU DAS ARTES,,
197139,PRACA LUIZ CARLOS MESQUITA,10,SAO PAULO,,
197261,SP 015,504,SAO PAULO,,
198091,PRACA CAMPO DE BAGATELLE,300,SAO PAULO,,
198486,AVENIDA SOUZA BANDEIRA,1,SAO PAULO,,
198525,ESTRADA MORRO GRANDE,999,COTIA,,
198851,AVENIDA ARICANDUVA,100,SAO PAULO,,
198902,AVENIDA SAPOPEMBA,24711,SAO PAULO,,
198931,RUA IPE,100,BARUERI,,
199557,SP 015,506,SAO PAULO,,
199598,ESTRADA DO SAPIANTA,1000,ITAPEVI,,
199647,AVENIDA SANTOS DUMONT,100,SAO PAULO,,
200031,AVENIDA PEDRO BUENO,1,SAO PAULO,,
200149,ACESSO AVENIDA JACUPESSEGO  AEROPORTO GRU,11,MAUA,,
200269,RUA SENADOR VITORINO FREIRE,300,DIADEMA,,
200279,RUA MARIA JOSE ALVES,383,GUARULHOS,,
200720,RUA SAO FRANCISCO DE ASSIS,858,SAO PAULO,,
200757,RUA CONSOLACAO,100,CARAPICUIBA,,
200764,ACESSO AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,513,SAO BERNARDO DO CAMPO,,
201284,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,16000,SAO PAULO,,
201569,SP 015,510,SAO PAULO,,
201662,SP 015,231,SAO PAULO,,
202050,ACESSO AVENIDA DOM PEDRO I,625,OSASCO,,
202249,AVENIDA MORUMBI,100,SAO PAULO,,
202684,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,100,SAO PAULO,,
202863,VIADUTO DO CHA,10,SAO PAULO,,
202957,ESTRADA DE ITAPECERICA,,SAO PAULO,,
203249,AVENIDA MOREIRA GUIMARAES,,SAO PAULO,,
203270,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100,SANTO ANDRE,,
203413,RUA CONSOLACAO,100,CARAPICUIBA,,
203429,BANDEIRANTES KM 17 SUL,,SAO PAULO,,
203471,AVENIDA PAPA JOAO PAULO I,1,GUARULHOS,,
203679,RUA VOLUNTARIOS DA PATRIA,100,SAO PAULO,,
203867,IMIGRANTES,20,DIADEMA,,
203939,RUA JAMIL JOAO ZARIFE,100,GUARULHOS,,
204050,RUA FANFULA,547,SAO PAULO,,
204106,RUA JOAO AMOS COMENIUS,500,SAO PAULO,,
204394,AVENIDA NOVE DE JULHO,1,SAO PAULO,,
204474,ACESSO PARA O VIADUTO ANTONIO ADIBE CHAMAS,885,SANTO ANDRE,,
204575,AVENIDA ITAMARATI,1726,SANTO ANDRE,,
204849,VIADUTO CONDESSA DE SAO JOAQUIM,1,SAO PAULO,,
204961,AVENIDA BRASIL,1864,FERRAZ DE VASCONCELOS,,
205218,AVENIDA ANTONIA ROSA FIORAVANTE,2544,MAUA,,
205406,SP 066,,GUARAREMA,,
205827,RUA HENRI DUNANT,835,SAO PAULO,,
205881,AVENIDA JACUPESSEGO,100,SAO PAULO,,
206433,AVENIDA PIRAPORINHA,600,SAO BERNARDO DO CAMPO,,
206517,ESTRADA DE ITAPECERICA,100,SAO PAULO,,
206615,AVENIDA RAGUEB CHOHFI,4635,SAO PAULO,,
206793,RUA MARQUES DE PARANAGUA,,SAO PAULO,,
207049,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,
207183,AVENIDA SAPOPEMBA,15602,SAO PAULO,,
207202,ESTRADA VELHA DA OLARIA,1930,COTIA,,
207251,AVENIDA DONA BELMIRA MARIN,3358,SAO PAULO,,
207416,RUA DO PARAISO,100,SAO PAULO,,
207586,RUA TOCANTINS,100,BARUERI,,
207612,PRESIDENTE DUTRA BR 116,,GUARULHOS,,
207711,ACESSO VIADUTO NOVE DE JULHO,100,SAO PAULO,,
207782,SP 70 OESTE,21,GUARULHOS,,
208204,ESTRADA DE ITAPECERICA,4660,SAO PAULO,,
208226,AVENIDA PACAEMBU,100,SAO PAULO,,
208435,IMIGRANTES,18,DIADEMA,,
208459,AVENIDA DONA RUICE FERRAZ ALVIN,100,DIADEMA,,
208722,AVENIDA MARQUES DE SAO VICENTE,1700,SAO PAULO,,
208755,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100,SANTO ANDRE,,
208920,RUA INACIO MONTEIRO,100,SAO PAULO,,
209235,AVENIDA RAGUEB CHOHFI,100,SAO PAULO,,
209651,RUA VIGARIO ALBERNAZ,191,SAO PAULO,,
209843,AVENIDA SENADOR TEOTONIO VILELA,100,SAO PAULO,,
209865,AVENIDA JOAO RAMALHO,205,MAUA,,
209918,VIADUTO BRESSER,10,SAO PAULO,,
209947,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,100,SAO PAULO,,
210033,RUA ANTONIO MUNIZ,1951,GUARAREMA,,
210198,AVENIDA JOSE PINHEIRO BORGES,1,SAO PAULO,,
211070,RUA CERRO CORA,,SAO PAULO,,
211134,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO,,
211240,AVENIDA NOSSA SENHORA DO SABARA,100,SAO PAULO,,
211291,AVENIDA ANTONIA ROSA FIORAVANTE,100,MAUA,,
211294,SP 348,13,SAO PAULO,,
211303,IMIGRANTES,18,DIADEMA,,
211519,ACESSO  M BOI MIRIM,500,SAO PAULO,,
211541,SP 015,112,SAO PAULO,,
211543,RUA AMADOR BUENO,942,SAO PAULO,,
211794,AVENIDA DO TABOAO,100,SAO BERNARDO DO CAMPO,,
212236,AVENIDA SANTOS DUMONT,1,SAO PAULO,,
212589,AVENIDA DO ESTADO,,SAO PAULO,,
212760,RUA GALENO DE ALMEIDA,235,SAO PAULO,,
213005,ACESSO AVENIDA VEREADOR JOSE DINIZ,100,SAO PAULO,,
213019,AVENIDA SALIM FARAH MALUF,10,SAO PAULO,,
213256,AVENIDA GOVERNADOR CARVALHO PINTO,1200,SAO PAULO,,
213609,AVENIDA LUIZ DUMONT VILLARES,100,SAO PAULO,,
213694,RUA DIOGO JACOME,260,SAO PAULO,,
213822,AVENIDA SANTOS DUMONT,100,SAO PAULO,,
214134,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,100,SAO PAULO,,
214183,ESTRADA DO M'BOI MIRIM,8639,SAO PAULO,,
214358,AVENIDA MAJOR PINHEIRO FROES,100,SUZANO,,
214386,AVENIDA QUEIROZ FILHO,,SAO PAULO,,
214477,VIADUTO DA INDEPENDENCIA,25,SAO CAETANO DO SUL,,
214492,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE,,
214521,RUA PALESTRA ITALIA,100,SAO PAULO,,
214697,AVENIDA LUIZ DUMONT VILLARES,100,SAO PAULO,,
214887,RUA NETUNO,670,EMBU DAS ARTES,,
215282,ACESSO DOUTOR ASSIS RIBEIRO,4687,SAO PAULO,,
215358,ACESSO ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAI,784,SAO PAULO,,
215705,ACESSO CANAL DE COCAIA,46,SAO PAULO,,
215839,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,
216017,PONTE ARICANDUVA,21,SAO PAULO,,
216163,ACESSO PARA AVENIDA WASHINGTON LUIS,100,SAO PAULO,,
216253,AVENIDA DOUTOR BERNARDINO BRITO FONSECA DE CARVALH,,SAO PAULO,,
216660,AVENIDA VINTE E TRES DE MAIO,5,SAO PAULO,,
216686,ALAMEDA RIO NEGRO,877,BARUERI,,
216767,TERMINAL PARELHEIROS,471,SAO PAULO,,
216782,PRACA SAMUEL SABATINE,100,SAO BERNARDO DO CAMPO,,
216784,AVENIDA DO ESTADO,1498,SAO PAULO,,
216812,ESTRADA PIRAJUSSARA VALO VELHO,1309,SAO PAULO,,
216837,RUA VEREADOR GENTIL SANTO DE PAULA,675,DIADEMA,,
217039,ACESSO RUA CAPITAO MOR JERONIMO LEITAO,100,SAO PAULO,,
217118,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE,,
217342,RUA ITAJUIBE,2646,FERRAZ DE VASCONCELOS,,
217545,ACESSO PARA A  ANHANGUERA,22,SAO PAULO,,
217616,AVENIDA LUIZ DUMONT VILLARES,513,SAO PAULO,,
217665,AVENIDA GOVERNADOR CARVALHO PINTO,3168,SAO PAULO,,
