,Logradouro,Numero/KM,Município,Longitude,Latitude
44357,ESTRADA DO ELENCO,4719,GUARULHOS,,
44360,AVENIDA MARIA SERVIDEI DEMARCHE,100,SAO BERNARDO DO CAMPO,,
44691,ESTRADA NOSSA SENHORA DE FATIMA,201,COTIA,,
44833,ACESSO AVENIDA ARICANDUVA,4500,SAO PAULO,,
44879,ACESSO AVENIDA JOAO DIAS,66,SAO PAULO,,
44884,RUA JORGE BERETA,2120,SANTO ANDRE,,
44936,SP 280,,BARUERI,,
45034,AVENIDA BRIGADEIRO FARIA LIMA,3515,GUARULHOS,,
45157,AVENIDA JOSE MARIA WHITAKER,100,SAO PAULO,,
45403,ACESSO A  RAPOSO TAVARES,32,COTIA,,
45467,RUA EPIACABA,,SAO PAULO,,
45480,AVENIDA JOAO PAULO I,1717,EMBU DAS ARTES,,
45566,ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,1501,SAO PAULO,,
45670,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,600,SAO PAULO,,
45950,RUA MARECHAL DEODORO,420,SAO BERNARDO DO CAMPO,,
46008,AVENIDA MARCO ANTONIO CALEGARI,100,BARUERI,,
46138,RUA MAJOR LUCIO DIAS RAMOS,2755,SAO PAULO,,
46143,AVENIDA MAZZEI,203,SAO PAULO,,
46513,AVENIDA EMILIO RIBAS,176,GUARULHOS,,
46517,ESTRADA DO M'BOI MIRIM,8650,SAO PAULO,,
46640,AVENIDA DO CURSINO,901,SAO PAULO,,
46682,AVENIDA PAES DE BARROS,187,SAO PAULO,,
46709,AVENIDA MARECHAL TITO,7300,SAO PAULO,,
46964,ACESSO CANAL DE COCAIA,1257,SAO PAULO,,
46994,ACESSO SAO MIGUEL,1900,SAO PAULO,,
47510,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,2000,SAO PAULO,,
47621,RUA CLOVIS BEVILAQUA,620,FERRAZ DE VASCONCELOS,,
47623,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO,,
47638,PONTE ORESTES QUERCIA,,SAO PAULO,,
47641,AVENIDA BRIGADEIRO FARIA LIMA,1682,SAO BERNARDO DO CAMPO,,
47952,AVENIDA CARLOS CALDEIRA FILHO,2457,SAO PAULO,,
48002,AVENIDA MORUMBI,4754,SAO PAULO,,
48024,RUA IRMA CAROLINA,635,SAO PAULO,,
48192,PRACA LEONOR KAUPA,100,SAO PAULO,,
48633,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,,
48697,ACESSO AVENIDA SAO MIGUEL,8730,SAO PAULO,,
48703,PRACA FRANCISCO PEREIRA,80,SAO PAULO,,
48796,ESTRADA DOS ALVARENGAS,53038,SAO BERNARDO DO CAMPO,,
48829,RUA TAUBATE,1316,SAO PAULO,,
48885,ESTRADA DO MONTE NEGRO,7,SANTA ISABEL,,
49175,AVENIDA PREFEITO HIRANT SANAZAR,98,OSASCO,,
49225,AVENIDA FRANCISCO FERREIRA LOPES,2737,MOGI DAS CRUZES,,
49237,RUA ROSA KASINSKI,100,MAUA,,
49361,AVENIDA MARIA CAMPOS,2,OSASCO,,
49463,RUA SAO CAETANO,452,EMBU DAS ARTES,,
49495,SP 015,583,SAO PAULO,,
49560,RUA ARICANGA,1208,SAO PAULO,,
49784,VIADUTO CARLOS DE CAMPOS  TRECHO VILA MATILDE,1,SAO PAULO,,
49849,AVENIDA MORUMBI,8575,SAO PAULO,,
49907,ACESSO AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
50029,AVENIDA DOS BANDEIRANTES,5495,SAO PAULO,,
50033,ALAMEDA AFONSO SCHMIDT,745,SAO PAULO,,
50316,AVENIDA PRESIDENTE CASTELO BRANCO,746,MAUA,,
50823,ACESSO AVENIDA SANTOS DUMONT,10,SANTO ANDRE,,
51126,RUA ORATORIO,1762,SANTO ANDRE,,
51153,RUA VERGUEIRO,4500,SAO PAULO,,
51205,AVENIDA HENRIQUE PERES,479,MOGI DAS CRUZES,,
51293,AVENIDA MANOEL PEDRO PIMENTEL,365,OSASCO,,
51652,RUA SENA MADUREIRA,415,SAO PAULO,,
51839,ALAMEDA DOS IPES,,OSASCO,,
51840,AVENIDA MARGINAL CORREGO DOS MONTEIROS,100,DIADEMA,,
51927,AVENIDA CAPITAO CASA,151,SAO BERNARDO DO CAMPO,,
