,Logradouro,Numero/KM,Município
25015,AVENIDA MARCO ANTONIO CALEGARI,100,BARUERI
25044,ALAMEDA AGENOR COUTO MAGALHAES,1779,SAO PAULO
25099,RUA SANTA CRUZ,1610,SAO PAULO
25114,AVENIDA MONTEMAGNO,2471,SAO PAULO
25118,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,575,SAO PAULO
25179,ESTRADA DO ALVARENGA,2820,SAO PAULO
25194,AVENIDA LUIS PEQUINI,36,SAO BERNARDO DO CAMPO
25198,VIADUTO ANTONIO ADIBE CHAMAS,1,SANTO ANDRE
25213,AVENIDA VINTE E TRES DE MAIO,2,SAO PAULO
25214,AVENIDA CARLOS CALDEIRA FILHO,100,SAO PAULO
25282,AVENIDA JOAO PAULO PRIMEIRO,,SAO PAULO
25286,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,100,SAO PAULO
25289,RUA HENRIQUE SCHAUMANN,679,SAO PAULO
25335,SP 031,100,RIBEIRAO PIRES
25392,AVENIDA NOSSA SENHORA DO SABARA,609,SAO PAULO
25404,AVENIDA DAS NACOES,2767,SANTO ANDRE
25415,ESTRADA DO PONEI CLUB,53086,SAO BERNARDO DO CAMPO
25425,RUA JOSE CAMPANELA,1,GUARULHOS
25426,AVENIDA MARGINAL,100,CARAPICUIBA
25430,SP 354,3,CAJAMAR
25500,AVENIDA BRIGADEIRO FARIA LIMA,2859,SAO PAULO
25513,IMIGRANTES,10,SAO PAULO
25560,AVENIDA ALBERTO SOARES SAMPAIO,100,MAUA
25569,AVENIDA JOAO DIAS,2346,SAO PAULO
25584,AVENIDA VEREADOR JOSE DINIZ,1700,SAO PAULO
25630,AVENIDA PROFESSOR FRANCISCO MORATO,3389,SAO PAULO
25631,AVENIDA AFONSO DE SAMPAIO E SOUSA,100,SAO PAULO
25658,ESTRADA EMBU,23,COTIA
25692,PRESIDENTE PRESIDENTE CASTELLO BRANCO,,ITAPEVI
25696,AVENIDA DEPUTADO EMILIO CARLOS,100,SAO PAULO
25698,AVENIDA NAGIB FARAH MALUF,1404,SAO PAULO
25740,AVENIDA VALTER BOVERI,501,OSASCO
25748,RUA LEOPOLDO COUTO DE MAGALHAES JUNIOR,1305,SAO PAULO
25823,AVENIDA CONCEICAO,3323,SAO PAULO
25828,SP 015,150,SAO PAULO
25882,PRES PRESIDENTE CASTELLO BRANCO,,JANDIRA
25883,AVENIDA TOWER AUTOMOTIVE,100,ARUJA
25895,MARGINAL DO RIBEIRAO,2650,CARAPICUIBA
25947,AVENIDA CARLOS CALDEIRA FILHO,10,SAO PAULO
25952,VIADUTO MINISTRO ALIOMAR BALEEIRO,100,SAO PAULO
25968,SP 031,100,RIBEIRAO PIRES
26001,AVENIDA TIRADENTES,100,GUARULHOS
26009,AVENIDA IBIRAPUERA,900,SAO PAULO
26017,RUA ORATORIO,693,SANTO ANDRE
26018,AVENIDA ANTONIO CARDOSO,100,SANTO ANDRE
26022,RUA BARBARA HIPOLITO CAPRIOTE,401,CARAPICUIBA
26054,AVENIDA INAJAR DE SOUZA,,SAO PAULO
26058,SP 015,661,SAO PAULO
26061,AVENIDA TIRADENTES,100,GUARULHOS
26066,IMIGRANTES,15,SAO PAULO
26067,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,4327,SAO BERNARDO DO CAMPO
26069,AVENIDA EMANCIPACAO,100,ITAQUAQUECETUBA
26079,AVENIDA IBIRAMA,100,TABOAO DA SERRA
26123,RUA ISABEL SORIA MAINARDES,325,TABOAO DA SERRA
26188,RUA LUIS CORREIA DE MELO,357,SAO PAULO
26274,AVENIDA MARGINAL TIETE  KM 5 5  PISTA CENTRAL,,SAO PAULO
26280,AVENIDA ALDA,436,DIADEMA
26285,AVENIDA GAGO COUTINHO,100,SANTO ANDRE
26286,SP 066,29.6,ITAQUAQUECETUBA
26287,AVENIDA SAPOPEMBA,3739,SAO PAULO
26295,AVENIDA NOVE DE JULHO,3800,SAO PAULO
26356,PARQUE RAPOSO TAVARES,19200,SAO PAULO
26375,AVENIDA ATLANTICA,100,SAO PAULO
26379,AVENIDA ANGELINA,,SAO PAULO
26395,RUA LUIS CARLOS LISBOA,30,SAO PAULO
26451,AVENIDA NOSSA SENHORA DOS NAVEGANTES,1663,DIADEMA
26454,AVENIDA PROFESSOR FRANCISCO MORATO,10,SAO PAULO
26481,RUA ESPELHO MAGICO,66,SAO PAULO
26542,RUA PEDRO RAMAZZANI,1555,SAO PAULO
26544,AVENIDA DO ESTADO,8767,SAO PAULO
26546,AVENIDA DOS BANDEIRANTES,100,SAO PAULO
26548,AVENIDA ARICANDUVA,12771,SAO PAULO
26566,AVENIDA PAULO FACINI,2181,GUARULHOS
26568,ACESSO ESQUERDO   IMIGRANTES,100,SAO PAULO
26575,AVENIDA CONSELHEIRO CARRAO,2974,SAO PAULO
26631,AVENIDA RIO DAS PEDRAS,2919,SAO PAULO
26645,SP 160,22,DIADEMA
26693,RUA DOS COQUEIROS,,SANTO ANDRE
26699,RETORNO AVENIDA JACU PESSEGO,100,MAUA
26700,RUA ALFREDO PUJOL,1389,SAO PAULO
26707,ALAMEDA SANTO AMARO,2080,SAO PAULO
26708,AVENIDA DOS ESTADOS,1721,SANTO ANDRE
26767,ESTRADA DOS ALVARENGAS,999,SAO BERNARDO DO CAMPO
26772,ESTRADA DE ITAPECERICA,195,SAO PAULO
26788,AVENIDA ALDINO PINOTTI,650,SAO BERNARDO DO CAMPO
26845,ACESSO AVENIDA ELIAS YAZBEK,2434,EMBU DAS ARTES
26858,RUA CONEGO XAVIER,1,SAO PAULO
26872,RUA MARCILIO ALVES DE CARVALHO,1,SUZANO
26931,ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA
27005,RUA ERNESTO JOAQUIM DE SOUZA,742,SUZANO
27020,AVENIDA VINTE E TRES DE MAIO,16,SAO PAULO
27027,RUA TAQUARI,100,SAO PAULO
27033,RUA RIBEIRO DE LIMA,153,SAO PAULO
27036,AVENIDA PROFESSOR VICENTE RAO,2328,SAO PAULO
27091,RUA CANTAGALO,,SAO PAULO
27161,AVENIDA OTAVIO BRAGA DE MESQUITA,100,GUARULHOS
27166,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,100,SAO BERNARDO DO CAMPO
27304,AVENIDA MARGINAL,96,CARAPICUIBA
27324,ACESSO PARA MARGINAL TIETE CENTRAL,6,SAO PAULO
27404,RUA ANTONIO IERVOLINO,2,GUARULHOS
27406,AVENIDA CORIFEU DE AZEVEDO MARQUES,3937,SAO PAULO
27408,SP 230,10,EMBU DAS ARTES
27410,RUA ANTONIO JOAO DE MEDEIROS,100,SAO PAULO
27417,AVENIDA JABAQUARA,100,SAO PAULO
27419,AVENIDA INOCENCIO SERAFICO,5230,CARAPICUIBA
27487,AVENIDA ARICANDUVA,12000,SAO PAULO
27491,AVENIDA SAO GUALTER,1296,SAO PAULO
27497,RUA AMADOR BUENO,3019,SAO PAULO
27504,AVENIDA CALIM EID,511,SAO PAULO
27512,AVENIDA SAO MIGUEL,7710,SAO PAULO
27525,RUA DANIEL PEREIRA,180,SAO PAULO
27581,ESTRADA DE SANTA ISABEL,10,ARUJA
27594,RUA ILHA BELA,528,SANTO ANDRE
27599,ESTRADA TURISTICA DO JARAGUA,1551,SAO PAULO
27660,AVENIDA TIRADENTES,,SAO PAULO
27670,PARQUE DOM PEDRO II,100,SAO PAULO
27672,RUA INAJA,268,EMBU DAS ARTES
27686,RUA PEDRO VICENTE,1,SAO PAULO
27747,SP 015,242,SAO PAULO
27748,AVENIDA SANTOS DUMONT,10,SAO PAULO
27760,RUA MARIA CANDIDA,,SAO PAULO
27764,PRESIDENTE DUTRA BR 116,1000,GUARULHOS
27800,AVENIDA LOURENCO BELOLI,100,OSASCO
27805,ESTRADA SAO MARCOS,36,EMBU DAS ARTES
27806,SP 019,2,GUARULHOS
27847,AVENIDA DO TABOAO,2,SAO BERNARDO DO CAMPO
27914,AVENIDA DONA BELMIRA MARIN,1358,SAO PAULO
27916,ACESSO DOUTOR EDUARDO COTCHING,1810,SAO PAULO
27931,AVENIDA DOUTOR CANDIDO MOTTA FILHO,829,SAO PAULO
27937,AVENIDA NOVE DE JULHO,10,SAO PAULO
27955,ALAMEDA AMERICA,60,SANTANA DE PARNAIBA
27957,AVENIDA CARLOS CALDEIRA FILHO,1,SAO PAULO
28002,AVENIDA INAJAR DE SOUZA,3000,SAO PAULO
28006,PRACA QUATORZE BIS,26,SAO PAULO
28022,RUA HEITOR PENTEADO,499,SANTO ANDRE
28032,AVENIDA DEPUTADO CANTIDIO SAMPAIO,2015,SAO PAULO
28145,AVENIDA DOUTOR CHUCRI ZAIDAN,100,SAO PAULO
28155,RUA DAS TRES MARIAS,1,SAO PAULO
28161,RUA ESTEVAN DE ALMEIDA,99,FRANCISCO MORATO
28179,PONTE DO LIMAO,10,SAO PAULO
28231,AVENIDA DIEDERICHSEN,1307,SAO PAULO
28237,AVENIDA DO ESTADO,4531,SAO PAULO
28240,AVENIDA ROQUE PETRONI JUNIOR,100,SAO PAULO
28296,RUA ASCENSO FERNANDES,127,SAO PAULO
28298,AVENIDA PROFESSOR EDGAR SANTOS,2647,SAO PAULO
28304,AVENIDA JOAO DIAS,100,SAO PAULO
28305,AVENIDA DONA BELMIRA MARIN,2578,SAO PAULO
28364,ACESSO DOUTOR EDUARDO COTCHING,586,SAO PAULO
28383,RUA MARINOPOLIS,,GUARULHOS
28391,AVENIDA GOVERNADOR MARIO COVAS JUNIOR,1,MAUA
28454,RUA PRESIDENTE CAMPOS SALLES,,MOGI DAS CRUZES
28455,RUA AGUA BRANCA,304,EMBU DAS ARTES
28467,RUA PIAUI,100,BARUERI
28470,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5855,SANTO ANDRE
28525,ACESSO DOUTOR EDUARDO COTCHING,1800,SAO PAULO
28527,SP 015,514,SAO PAULO
28587,ACESSO AVENIDA ENGENHEIRO OLAVO ALAISIO DE LIMA,243,SANTO ANDRE
28617,ACESSO JD PARANAVAI  V NOVA MAUA,,MAUA
28619,SP 066,10,ITAQUAQUECETUBA
28668,AVENIDA MARCO ANTONIO CALEGARI,100,BARUERI
28678,AVENIDA GOVERNADOR MARIO COVAS JUNIOR,10,MAUA
28683,ACESSO CANAL DE COCAIA,4006,SAO PAULO
28740,AVENIDA BRIGADEIRO LUIS ANTONIO,3875,SAO PAULO
28816,RUA DA GOIABEIRA SERRANA,608,SAO PAULO
28929,AVENIDA FRANCISCO MATARAZZO,774,SAO PAULO
28938,AVENIDA DO ESTADO,1,SAO PAULO
28941,RUA DOUTOR WASHIGNTON PEDRO LANZELOTI,1500,OSASCO
29008,AVENIDA ARICANDUVA,10800,SAO PAULO
29014,RUA ESTADOS UNIDOS,170,SAO PAULO
29106,ESTRADA DE ITAPECERICA,10000,SAO PAULO
29155,AVENIDA ARICANDUVA,12200,SAO PAULO
29168,RUA TALES DOS SANTOS FREIRE,904,SAO BERNARDO DO CAMPO
29185,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,385,SAO PAULO
29235,RUA SANTO EURILO,360,SAO PAULO
29242,SP 019,2,GUARULHOS
29273,RUA VICENTE PIRES DOS SANTOS,804,TABOAO DA SERRA
29276,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO
29281,RUA NOVA DO TUPAROQUERA,855,SAO PAULO
29324,AVENIDA TIRADENTES,100,GUARULHOS
29327,AVENIDA JOAO DIAS,100,SAO PAULO
29328,ACESSO DOUTOR ASSIS RIBEIRO,7750,SAO PAULO
29433,RUA VEREADOR JOAO BATISTA FITIPALDI,1137,SUZANO
29506,ACESSO AVENIDA PRESIDENTE JOAO CAFE FILHO,1,SAO BERNARDO DO CAMPO
29550,ACESSO SEBASTIANA FELIX RIBEIRO,7,CAJAMAR
29564,AVENIDA FERNANDO NOBRE,1332,COTIA
29581,ACESSO  M BOI MIRIM,4415,SAO PAULO
29618,RUA DOUTOR DEODATO WERTHEIMER,,MOGI DAS CRUZES
29619,AVENIDA VILA EMA,6143,SAO PAULO
29622,RUA ALVINOPOLIS,10,SAO PAULO
29677,AVENIDA ARICANDUVA,12000,SAO PAULO
29695,ACESSO AVENIDA JACUPESSEGO,100,SAO PAULO
29719,AVENIDA CONDE DE FRONTIN,10,SAO PAULO
29764,AVENIDA SAPOPEMBA,22000,SAO PAULO
29765,ACESSO AVENIDA SPORT CLUB CORINTIANS PAULISTA,100,OSASCO
29773,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,100,SAO PAULO
29783,ACESSO TUNEL DOUTOR ARNALDO,10,SAO PAULO
29815,AVENIDA MARIA SERVIDEI DEMARCHE,100,SAO BERNARDO DO CAMPO
29872,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO
29884,RUA JOAO TEODORO,,SAO PAULO
29945,ACESSO RADIAL LESTE  CENTRO,1.2,SAO PAULO
29988,PRACA CAMPO DE BAGATELLE,100,SAO PAULO
30007,AVENIDA SAPOPEMBA,25550,SAO PAULO
30011,ACESSO CUPECE,1689,SAO PAULO
30050,RUA DAS JUNTAS PROVISORIAS,10,SAO PAULO
30052,SP 148,29,SAO BERNARDO DO CAMPO
30062,PRACA LEONOR KAUPA,10,SAO PAULO
30107,RUA CHICO MENDES,3073,OSASCO
30113,ALAMEDA SANTO AMARO,1000,SAO PAULO
30168,AVENIDA PROFESSOR FRANCISCO MORATO,,SAO PAULO
30169,SP 015,420,SAO PAULO
30171,RUA COSTA BARROS,100,SAO PAULO
30191,AVENIDA DO ESTADO,100,SAO PAULO
30197,ESTRADA DE ITAPECERICA,100,SAO PAULO
30232,AVENIDA RAGUEB CHOHFI,1056,SAO PAULO
30233,ACESSO PARA MARGINAL TIETE CENTRAL,100,SAO PAULO
30256,RUA DOM PEDRO I,902,RIO GRANDE DA SERRA
30299,RUA IPE,100,BARUERI
30358,AVENIDA ISALTINO VICTOR DE MORAES,100,EMBU DAS ARTES
30362,PRACA LUIZ CARLOS MESQUITA,10,SAO PAULO
30367,SP 015,504,SAO PAULO
30485,PRACA CAMPO DE BAGATELLE,300,SAO PAULO
30514,AVENIDA SOUZA BANDEIRA,1,SAO PAULO
30520,ESTRADA MORRO GRANDE,999,COTIA
30579,AVENIDA ARICANDUVA,100,SAO PAULO
30582,AVENIDA SAPOPEMBA,24711,SAO PAULO
30585,RUA IPE,100,BARUERI
30701,SP 015,506,SAO PAULO
30703,ESTRADA DO SAPIANTA,1000,ITAPEVI
30707,AVENIDA SANTOS DUMONT,100,SAO PAULO
30780,AVENIDA PEDRO BUENO,1,SAO PAULO
30796,ACESSO AVENIDA JACUPESSEGO  AEROPORTO GRU,11,MAUA
30802,RUA SENADOR VITORINO FREIRE,300,DIADEMA
30804,RUA MARIA JOSE ALVES,383,GUARULHOS
30899,RUA SAO FRANCISCO DE ASSIS,858,SAO PAULO
30906,RUA CONSOLACAO,100,CARAPICUIBA
30907,ACESSO AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,513,SAO BERNARDO DO CAMPO
30993,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,16000,SAO PAULO
31059,SP 015,510,SAO PAULO
31066,SP 015,231,SAO PAULO
31116,ACESSO AVENIDA DOM PEDRO I,625,OSASCO
31126,AVENIDA MORUMBI,100,SAO PAULO
31188,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,100,SAO PAULO
31198,VIADUTO DO CHA,10,SAO PAULO
31208,ESTRADA DE ITAPECERICA,,SAO PAULO
31287,AVENIDA MOREIRA GUIMARAES,,SAO PAULO
31291,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100,SANTO ANDRE
31303,RUA CONSOLACAO,100,CARAPICUIBA
31306,BANDEIRANTES KM 17 SUL,,SAO PAULO
31311,AVENIDA PAPA JOAO PAULO I,1,GUARULHOS
31377,RUA VOLUNTARIOS DA PATRIA,100,SAO PAULO
31392,IMIGRANTES,20,DIADEMA
31398,RUA JAMIL JOAO ZARIFE,100,GUARULHOS
31406,RUA FANFULA,547,SAO PAULO
31409,RUA JOAO AMOS COMENIUS,500,SAO PAULO
31468,AVENIDA NOVE DE JULHO,1,SAO PAULO
31479,ACESSO PARA O VIADUTO ANTONIO ADIBE CHAMAS,885,SANTO ANDRE
31486,AVENIDA ITAMARATI,1726,SANTO ANDRE
31540,VIADUTO CONDESSA DE SAO JOAQUIM,1,SAO PAULO
31550,AVENIDA BRASIL,1864,FERRAZ DE VASCONCELOS
31610,AVENIDA ANTONIA ROSA FIORAVANTE,2544,MAUA
31624,SP 066,,GUARAREMA
31669,RUA HENRI DUNANT,835,SAO PAULO
31672,AVENIDA JACUPESSEGO,100,SAO PAULO
31762,AVENIDA PIRAPORINHA,600,SAO BERNARDO DO CAMPO
31769,ESTRADA DE ITAPECERICA,100,SAO PAULO
31777,AVENIDA RAGUEB CHOHFI,4635,SAO PAULO
31792,RUA MARQUES DE PARANAGUA,,SAO PAULO
31873,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
31882,AVENIDA SAPOPEMBA,15602,SAO PAULO
31883,ESTRADA VELHA DA OLARIA,1930,COTIA
31885,AVENIDA DONA BELMIRA MARIN,3358,SAO PAULO
31892,RUA DO PARAISO,100,SAO PAULO
31961,RUA TOCANTINS,100,BARUERI
31962,PRESIDENTE DUTRA BR 116,,GUARULHOS
31974,ACESSO VIADUTO NOVE DE JULHO,100,SAO PAULO
31984,SP 70 OESTE,21,GUARULHOS
32061,ESTRADA DE ITAPECERICA,4660,SAO PAULO
32062,AVENIDA PACAEMBU,100,SAO PAULO
32081,IMIGRANTES,18,DIADEMA
32084,AVENIDA DONA RUICE FERRAZ ALVIN,100,DIADEMA
32156,AVENIDA MARQUES DE SAO VICENTE,1700,SAO PAULO
32160,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100,SANTO ANDRE
32178,RUA INACIO MONTEIRO,100,SAO PAULO
32254,AVENIDA RAGUEB CHOHFI,100,SAO PAULO
32298,RUA VIGARIO ALBERNAZ,191,SAO PAULO
32339,AVENIDA SENADOR TEOTONIO VILELA,100,SAO PAULO
32342,AVENIDA JOAO RAMALHO,205,MAUA
32346,VIADUTO BRESSER,10,SAO PAULO
32348,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,100,SAO PAULO
32357,RUA ANTONIO MUNIZ,1951,GUARAREMA
32377,AVENIDA JOSE PINHEIRO BORGES,1,SAO PAULO
32548,RUA CERRO CORA,,SAO PAULO
32552,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO
32562,AVENIDA NOSSA SENHORA DO SABARA,100,SAO PAULO
32565,AVENIDA ANTONIA ROSA FIORAVANTE,100,MAUA
32566,SP 348,13,SAO PAULO
32567,IMIGRANTES,18,DIADEMA
32623,ACESSO  M BOI MIRIM,500,SAO PAULO
32627,SP 015,112,SAO PAULO
32628,RUA AMADOR BUENO,942,SAO PAULO
32647,AVENIDA DO TABOAO,100,SAO BERNARDO DO CAMPO
32712,AVENIDA SANTOS DUMONT,1,SAO PAULO
32786,AVENIDA DO ESTADO,,SAO PAULO
32802,RUA GALENO DE ALMEIDA,235,SAO PAULO
32847,ACESSO AVENIDA VEREADOR JOSE DINIZ,100,SAO PAULO
32850,AVENIDA SALIM FARAH MALUF,10,SAO PAULO
32865,AVENIDA GOVERNADOR CARVALHO PINTO,1200,SAO PAULO
32944,AVENIDA LUIZ DUMONT VILLARES,100,SAO PAULO
32952,RUA DIOGO JACOME,260,SAO PAULO
32971,AVENIDA SANTOS DUMONT,100,SAO PAULO
33041,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,100,SAO PAULO
33046,ESTRADA DO M'BOI MIRIM,8639,SAO PAULO
33066,AVENIDA MAJOR PINHEIRO FROES,100,SUZANO
33072,AVENIDA QUEIROZ FILHO,,SAO PAULO
33080,VIADUTO DA INDEPENDENCIA,25,SAO CAETANO DO SUL
33083,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE
33086,RUA PALESTRA ITALIA,100,SAO PAULO
33147,AVENIDA LUIZ DUMONT VILLARES,100,SAO PAULO
33157,RUA NETUNO,670,EMBU DAS ARTES
33207,ACESSO DOUTOR ASSIS RIBEIRO,4687,SAO PAULO
33216,ACESSO ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAI,784,SAO PAULO
33281,ACESSO CANAL DE COCAIA,46,SAO PAULO
33293,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
33343,PONTE ARICANDUVA,21,SAO PAULO
33349,ACESSO PARA AVENIDA WASHINGTON LUIS,100,SAO PAULO
33353,AVENIDA DOUTOR BERNARDINO BRITO FONSECA DE CARVALH,,SAO PAULO
33411,AVENIDA VINTE E TRES DE MAIO,5,SAO PAULO
33412,ALAMEDA RIO NEGRO,877,BARUERI
33419,TERMINAL PARELHEIROS,471,SAO PAULO
33420,PRACA SAMUEL SABATINE,100,SAO BERNARDO DO CAMPO
33422,AVENIDA DO ESTADO,1498,SAO PAULO
33424,ESTRADA PIRAJUSSARA VALO VELHO,1309,SAO PAULO
33429,RUA VEREADOR GENTIL SANTO DE PAULA,675,DIADEMA
33481,ACESSO RUA CAPITAO MOR JERONIMO LEITAO,100,SAO PAULO
33483,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE
33500,RUA ITAJUIBE,2646,FERRAZ DE VASCONCELOS
33531,ACESSO PARA A  ANHANGUERA,22,SAO PAULO
33540,AVENIDA LUIZ DUMONT VILLARES,513,SAO PAULO
33543,AVENIDA GOVERNADOR CARVALHO PINTO,3168,SAO PAULO
33552,ACESSO CUPECE,5175,SAO PAULO
33553,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,,SAO PAULO
33555,RUA JAMIL JOAO ZARIFE,100,GUARULHOS
33558,RUA VOLUNTARIOS DA PATRIA,1,SAO PAULO
33627,ACESSO AVENIDA DO ESTADO,805,SAO CAETANO DO SUL
33641,RUA ANTONIO GIL,,SAO PAULO
33647,AVENIDA LEONIL CRE BORTOLOSSO,1,OSASCO
33648,AVENIDA DO ESTADO,1,SAO PAULO
33656,ACESSO AVENIDA DOUTOR FREDERICO MARTINS DA COSTA C,558,SAO PAULO
33718,ESTRADA DE ITAPECERICA,100,SAO PAULO
33807,ESTRADA DE ITAPECERICA,3017,EMBU DAS ARTES
33814,RUA PAULO AIRES,240,TABOAO DA SERRA
33820,AVENIDA BRIGADEIRO LUIS ANTONIO,2759,SAO PAULO
33904,RUA MARSELHA,458,SAO PAULO
33947,ACESSO AVENIDA JACUPESSEGO,1440,SAO PAULO
33949,AVENIDA PARAGUASSU,192,BARUERI
33951,VIADUTO ANTONIO ADIBE CHAMAS,10,SANTO ANDRE
33969,AVENIDA PRESIDENTE CASTELO BRANCO,1328,MAUA
34030,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,100,SAO PAULO
34050,RUA DOM MACARIO,199,SAO PAULO
34134,AVENIDA DOUTOR JOSE ARTUR NOVA,1520,SAO PAULO
34154,AVENIDA VEREADOR JOSE DINIZ,,SAO PAULO
34229,AVENIDA SILVIO RIBEIRO ARAGAO,200,SAO PAULO
34236,SP 088,,ARUJA
34287,AVENIDA DAS NACOES UNIDAS,12000,SAO PAULO
34291,AVENIDA RUBEM BERTA,10,SAO PAULO
34315,PRACA GEOVANE BREDA,100,SAO BERNARDO DO CAMPO
34389,ACESSO AVENIDA DO ESTADO,1079,SAO CAETANO DO SUL
34392,AVENIDA VINTE E TRES DE MAIO,,SAO PAULO
34501,ACESSO VIADUTO AVENIDA SANTOS DUMONT,10,SAO PAULO
34502,RUA TUPA,100,ARUJA
34559,VIADUTO ACISA,10,SANTO ANDRE
34563,SP 019,13,GUARULHOS
34651,PRACA GAUCHA,100,SAO PAULO
34657,ACESSO AVENIDA SALIM FARAH MALUF,100,SAO PAULO
34659,RUA JOSE MANOEL DE ALMEIDA,100,VARGEM GRANDE PAULISTA
34756,ACESSO PARA MARGINAL PINHEIROS EXPRESSA,10,SAO PAULO
34757,SP 230,273,TABOAO DA SERRA
34795,AVENIDA BERNARDINO DE CAMPOS,348,SAO PAULO
34803,AVENIDA MARGINAL DO RIO PINHEIROS,4,SAO PAULO
34820,RUA LEANDRO DE SEVILHA,,SAO PAULO
34827,SP 015,215,SAO PAULO
34833,AVENIDA PEDROSO DE MORAIS,1234,SAO PAULO
34834,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE
34898,RUA PEDRO ZOLCSAK,1,SAO BERNARDO DO CAMPO
34970,AVENIDA VILA EMA,100,SAO PAULO
34974,AVENIDA YOJIRO TAKAOKA,100,SANTANA DE PARNAIBA
34983,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,3555,SAO PAULO
34986,RUA JURUBATUBA,165,SAO BERNARDO DO CAMPO
35041,IMIGRANTES,12,SAO PAULO
35042,VIADUTO DEPUTADO ANTONIO SYLVIO CUNHA BUENO,100,SAO PAULO
35052,ESTRADA DO M'BOI MIRIM,9983,SAO PAULO
35120,RETORNO  HENRIQUE EROLES,,ITAQUAQUECETUBA
35176,RETORNO COMPLEXO VIARIO MARIA MALUF,200,SAO PAULO
35211,AVENIDA LOTHAR WALDEMAR HOEHNE,100,MOGI DAS CRUZES
35285,AVENIDA ALDA,2451,DIADEMA
35296,IMIGRANTES,13,DIADEMA
35307,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100,SANTO ANDRE
35311,RUA JAMIL JOAO ZARIFE,100,GUARULHOS
35378,PONTE ARICANDUVA,10,SAO PAULO
35379,VIA ANHANGUERA,1,SAO PAULO
35383,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE
35411,PONTE PRESIDENTE DUTRA,100,SAO PAULO
35414,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100,SANTO ANDRE
35470,ESTRADA BOI MIRIM,10113,ITAPECERICA DA SERRA
35477,AVENIDA CRUZEIRO DO SUL,100,SAO PAULO
35479,RUA DAS JUNTAS PROVISORIAS,10,SAO PAULO
35489,PRACA NOVO MUNDO,100,SAO PAULO
35492,VIADUTO DO CHA,100,SAO PAULO
35494,ALAMEDA ALDA,2404,SAO PAULO
35497,SP 015,514,SAO PAULO
35549,ACESSO PARA MARGINAL TIETE CENTRAL,100,SAO PAULO
35583,RUA FRANCISCO MARENGO,100,SAO PAULO
35692,ESTRADA DAS OLARIAS,100,TABOAO DA SERRA
35696,SP 031,12309,SUZANO
35711,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO
35715,RUA PAULO CASTALDELI,472,GUARULHOS
35729,RUA FREI GASPAR,10,SAO BERNARDO DO CAMPO
35798,SP 230,288,EMBU DAS ARTES
35802,AVENIDA SAPOPEMBA,15613,SAO PAULO
35815,RUA BABILONIA,499,EMBU DAS ARTES
35818,AVENIDA MARGINAL DO RIBEIRAO,544,CARAPICUIBA
35827,RUA SIMAO CAETANO NUNES,10,SAO PAULO
35914,RUA ALEGRE,1316,SAO CAETANO DO SUL
35929,AVENIDA JOAO DIAS,799,SAO PAULO
35936,AVENIDA DEPUTADO EMILIO CARLOS,665,SAO PAULO
35993,PONTE DA VILA GUILHERME,1500,SAO PAULO
36000,SP 070,13,SAO PAULO
36010,RUA MIGUEL RACHID,,SAO PAULO
36016,ACESSO AVENIDA GIOVANNI GRONCHI,100,SAO PAULO
36018,AVENIDA YERVANT KISSAJIKIAN,3620,SAO PAULO
36022,VIADUTO ANTONIO ADIBE CHAMAS,100,SANTO ANDRE
36068,AVENIDA INTERNACIONAL,180,OSASCO
36069,ACESSO ESQUERDO   IMIGRANTES,1,SAO PAULO
36075,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA
36080,AVENIDA DO ESTADO,10,SAO PAULO
