,Logradouro,Numero/KM,Município
6304,ACESSO AVENIDA JOAO DIAS,66,SAO PAULO
6305,RUA JORGE BERETA,2120,SANTO ANDRE
6307,SP 280,,BARUERI
6313,AVENIDA BRIGADEIRO FARIA LIMA,3515,GUARULHOS
6320,AVENIDA JOSE MARIA WHITAKER,100,SAO PAULO
6387,ACESSO A  RAPOSO TAVARES,32,COTIA
6390,RUA EPIACABA,,SAO PAULO
6392,AVENIDA JOAO PAULO I,1717,EMBU DAS ARTES
6400,ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,1501,SAO PAULO
6406,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,600,SAO PAULO
6464,RUA MARECHAL DEODORO,420,SAO BERNARDO DO CAMPO
6467,AVENIDA MARCO ANTONIO CALEGARI,100,BARUERI
6477,RUA MAJOR LUCIO DIAS RAMOS,2755,SAO PAULO
6478,AVENIDA MAZZEI,203,SAO PAULO
6543,AVENIDA EMILIO RIBAS,176,GUARULHOS
6545,ESTRADA DO M'BOI MIRIM,8650,SAO PAULO
6556,AVENIDA DO CURSINO,901,SAO PAULO
6561,AVENIDA PAES DE BARROS,187,SAO PAULO
6566,AVENIDA MARECHAL TITO,7300,SAO PAULO
6631,ACESSO CANAL DE COCAIA,1257,SAO PAULO
6635,ACESSO SAO MIGUEL,1900,SAO PAULO
6727,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,2000,SAO PAULO
6737,RUA CLOVIS BEVILAQUA,620,FERRAZ DE VASCONCELOS
6738,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO
6744,PONTE ORESTES QUERCIA,,SAO PAULO
6745,AVENIDA BRIGADEIRO FARIA LIMA,1682,SAO BERNARDO DO CAMPO
6799,AVENIDA CARLOS CALDEIRA FILHO,2457,SAO PAULO
6803,AVENIDA MORUMBI,4754,SAO PAULO
6809,RUA IRMA CAROLINA,635,SAO PAULO
6819,PRACA LEONOR KAUPA,100,SAO PAULO
6877,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO
6881,ACESSO AVENIDA SAO MIGUEL,8730,SAO PAULO
6882,PRACA FRANCISCO PEREIRA,80,SAO PAULO
6890,ESTRADA DOS ALVARENGAS,53038,SAO BERNARDO DO CAMPO
6893,RUA TAUBATE,1316,SAO PAULO
6895,ESTRADA DO MONTE NEGRO,7,SANTA ISABEL
6957,AVENIDA PREFEITO HIRANT SANAZAR,98,OSASCO
6965,AVENIDA FRANCISCO FERREIRA LOPES,2737,MOGI DAS CRUZES
6967,RUA ROSA KASINSKI,100,MAUA
6970,AVENIDA MARIA CAMPOS,2,OSASCO
6980,RUA SAO CAETANO,452,EMBU DAS ARTES
6984,SP 015,583,SAO PAULO
6991,RUA ARICANGA,1208,SAO PAULO
7048,VIADUTO CARLOS DE CAMPOS  TRECHO VILA MATILDE,1,SAO PAULO
7054,AVENIDA MORUMBI,8575,SAO PAULO
7059,ACESSO AVENIDA SALIM FARAH MALUF,100,SAO PAULO
7069,AVENIDA DOS BANDEIRANTES,5495,SAO PAULO
7070,ALAMEDA AFONSO SCHMIDT,745,SAO PAULO
7123,AVENIDA PRESIDENTE CASTELO BRANCO,746,MAUA
7192,ACESSO AVENIDA SANTOS DUMONT,10,SANTO ANDRE
7241,RUA ORATORIO,1762,SANTO ANDRE
7246,RUA VERGUEIRO,4500,SAO PAULO
7250,AVENIDA HENRIQUE PERES,479,MOGI DAS CRUZES
7257,AVENIDA MANOEL PEDRO PIMENTEL,365,OSASCO
7310,RUA SENA MADUREIRA,415,SAO PAULO
7323,ALAMEDA DOS IPES,,OSASCO
7324,AVENIDA MARGINAL CORREGO DOS MONTEIROS,100,DIADEMA
7332,AVENIDA CAPITAO CASA,151,SAO BERNARDO DO CAMPO
7383,PRESIDENTE DUTRA BR 116,223,GUARULHOS
7412,ACESSO AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA,21,ITAQUAQUECETUBA
7413,RUA MELO FREIRE,100,SAO PAULO
7421,AVENIDA DOUTOR HUGO BEOLCHI,567,SAO PAULO
7487,AVENIDA TIRADENTES,,SAO PAULO
7490,RUA SIMAO CAETANO NUNES,840,SAO PAULO
7491,ACESSO AVENIDA JACU PESSEGO,3200,SAO PAULO
7501,RUA ADIBE AUADA,226,COTIA
7556,AVENIDA MARGINAL DO RIBEIRAO,1000,CARAPICUIBA
7561,SP 070,1000,GUARULHOS
7563,RUA GARCIA DE ORTA,20,SAO PAULO
7566,AVENIDA DOS BANDEIRANTES,5378,SAO PAULO
7568,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,1321,SAO PAULO
7571,AVENIDA INGLATERRA,,SAO PAULO
7634,PARQUE DOM PEDRO II,100,SAO PAULO
7702,RUA BENEDITO BARBOSA,2718,SAO PAULO
7708,VIADUTO COMEN ELIAS NAGIB BREIM,13,SAO PAULO
7711,AVENIDA IMPERATRIZ LEOPOLDINA,14520,SAO PAULO
7758,AVENIDA ALDA,2806,DIADEMA
7764,AVENIDA ELISIO CORDEIRO DE SIQUEIRA,474,SAO PAULO
7779,RUA CRISTOVAO PEREIRA,1772,SAO PAULO
7781,RUA JOSE MARQUES RIBEIRO,1,CAJAMAR
7785,PARQUE RAPOSO TAVARES,17,SAO PAULO
7786,MOGIDUTRA,98,MOGI DAS CRUZES
7819,AVENIDA OTAVIO BRAGA DE MESQUITA,1687,GUARULHOS
7840,ESTRADA DE SAPOPEMBA,8,RIBEIRAO PIRES
7854,VIADUTO CONDESSA DE SAO JOAQUIM,100,SAO PAULO
7935,RUA DOUTOR PEDRO DE TOLEDO,342,GUARAREMA
7939,AVENIDA GUSTAVO ADOLFO,2916,SAO PAULO
7941,ESTRADA GUARULHOSSAO MIGUEL,2539,GUARULHOS
7945,AVENIDA GOVERNADOR CARVALHO PINTO,2045,SAO PAULO
7968,ACESSO RUA VEREADOR JOAO BATISTA FITIPALDI,123,SUZANO
8050,AVENIDA DONA BELMIRA MARIN,1357,SAO PAULO
8055,AVENIDA NORDESTINA,2904,SAO PAULO
8062,RUA JOAO DOMINGUES DE OLIVEIRA,193,RIBEIRAO PIRES
8124,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO
8130,AVENIDA CONCEICAO,100,DIADEMA
8132,RUA LEONILDA,396,SANTO ANDRE
8135,AVENIDA SAPOPEMBA,3437,SAO PAULO
8137,RUA ALBERTO DE OLIVEIRA,3540,ITAQUAQUECETUBA
8138,SP 070,13,SAO PAULO
8200,SP 015,480,SAO PAULO
8205,AVENIDA PRESIDENTE TANCREDO NEVES,,SAO PAULO
8214,AVENIDA BRASIL,2035,FERRAZ DE VASCONCELOS
8219,VIADUTO AIRTON SENNA,25,FERRAZ DE VASCONCELOS
8260,RUA CONSOLACAO,10,CARAPICUIBA
8276,AVENIDA BRIGADEIRO FARIA LIMA,10,SAO BERNARDO DO CAMPO
8294,SP 230,23,EMBU DAS ARTES
8342,ESTRADA DOS ALVARENGAS,53026,SAO BERNARDO DO CAMPO
8356,ESTRADA DE SANTA ISABEL,1001,ARUJA
8363,AVENIDA TRINTA E UM DE MARCO,3027,SAO BERNARDO DO CAMPO
8365,PRACA DOUTOR JOAO MENDES,62,SAO PAULO
8370,VIADUTO SANTA GENEROSA,10,SAO PAULO
8407,AVENIDA JOAO PAULO I,3134,EMBU DAS ARTES
8412,AVENIDA ELIAS YAZBEK,784,EMBU DAS ARTES
8415,AVENIDA JOAO RAMALHO,1000,SANTO ANDRE
8475,PRACA EROTIDES DE CAMPOS,975,SAO PAULO
8478,AVENIDA PROFESSOR VICENTE RAO,2327,SAO PAULO
8479,RUA DOS VIANAS,3148,SAO BERNARDO DO CAMPO
8485,RUA ANTONIO BEZERRA,702,SAO PAULO
8489,AVENIDA PADRE VICENTE MELILO,1544,OSASCO
8491,AVENIDA MARIA CAMPOS,1,OSASCO
8542,AVENIDA POMPEIA,10,SAO PAULO
8543,ACESSO RUA MONTE PASCAL,100,SAO PAULO
8554,ESTRADA CANAL DE COCAIA,1311,SAO PAULO
8557,RUA GUAICURUS,100,SAO PAULO
8560,VIADUTO DO GLICERIO,100,SAO PAULO
8570,ACESSO DAS LAGRIMAS,100,SAO CAETANO DO SUL
8625,AVENIDA WASHINGTON LUIS,7023,SAO PAULO
8635,AVENIDA GIOVANNI GRONCHI,3993,SAO PAULO
